bit_count;stride;training_length;input;output;runtime
1;64;20;0;0;98238
1;64;20;1;1;95667
1;64;20;1;1;105487
1;64;20;0;1;98234
1;64;20;1;1;107693
1;64;20;0;0;88746
1;64;20;1;1;90300
1;64;20;1;1;106825
1;64;20;0;1;89840
1;64;20;0;1;104327
1;64;20;0;1;99897
1;64;20;1;1;90216
1;64;20;1;1;89139
1;64;20;1;1;106421
1;64;20;1;1;98130
1;64;20;1;1;97371
1;64;20;1;1;109272
1;64;20;1;1;105357
1;64;20;0;1;96190
1;64;20;0;0;90478
1;64;20;1;1;90343
1;64;20;0;0;117896
1;64;20;0;1;104977
1;64;20;0;0;97995
1;64;20;1;1;108196
1;64;20;0;0;100135
1;64;20;0;1;100440
1;64;20;0;1;107689
1;64;20;1;1;108447
1;64;20;0;1;106172
1;64;20;0;0;106719
1;64;20;1;1;92860
1;64;20;0;0;91057
1;64;20;1;1;101740
1;64;20;0;0;120912
1;64;20;1;1;89138
1;64;20;0;1;89888
1;64;20;0;1;90116
1;64;20;1;1;118552
1;64;20;0;0;104177
1;64;20;0;0;97176
1;64;20;0;0;108727
1;64;20;0;1;105095
1;64;20;1;1;98319
1;64;20;0;0;109457
1;64;20;1;1;114616
1;64;20;1;1;94047
1;64;20;1;1;108330
1;64;20;0;1;89673
1;64;20;0;0;96570
1;64;20;1;1;82327
1;64;20;0;1;90772
1;64;20;1;1;90844
1;64;20;1;1;97486
1;64;20;1;1;118703
1;64;20;0;0;90046
1;64;20;1;1;88820
1;64;20;0;0;106166
1;64;20;0;0;97800
1;64;20;0;0;99741
1;64;20;0;1;102726
1;64;20;0;0;96321
1;64;20;1;1;106015
1;64;20;1;1;98369
1;64;20;0;0;97406
1;64;20;0;0;91494
1;64;20;1;1;114952
1;64;20;1;1;105067
1;64;20;0;0;83683
1;64;20;1;1;103930
1;64;20;1;1;91989
1;64;20;1;1;110542
1;64;20;1;1;97120
1;64;20;0;0;105715
1;64;20;1;1;81698
1;64;20;1;1;96864
1;64;20;1;1;98479
1;64;20;1;1;97109
1;64;20;1;1;106478
1;64;20;1;1;99355
1;64;20;0;1;92804
1;64;20;1;1;111938
1;64;20;0;1;99139
1;64;20;1;1;105530
1;64;20;0;1;81525
1;64;20;1;1;99017
1;64;20;0;0;97651
1;64;30;1;1;96605
1;64;30;1;1;121435
1;64;30;0;1;97331
1;64;30;0;0;97371
1;64;30;1;1;105728
1;64;30;1;1;104123
1;64;30;1;1;122564
1;64;30;1;1;96037
1;64;30;0;1;104872
1;64;30;1;1;98773
1;64;30;1;1;107128
1;64;30;1;1;126295
1;64;30;0;1;96518
1;64;30;0;1;125454
1;64;30;1;1;104896
1;64;30;1;1;107031
1;64;30;0;1;111359
1;64;30;1;1;118534
1;64;30;0;0;145171
1;64;30;1;1;119761
1;64;30;1;1;108075
1;64;30;0;1;94396
1;64;30;0;1;103882
1;64;30;0;0;122242
1;64;30;1;1;115047
1;64;30;1;1;112924
1;64;30;1;1;96568
