bit_count;stride;training_length;input;output;runtime
1;64;20;0;1;118825
1;64;20;1;1;145896
1;64;20;1;1;115475
1;64;20;0;1;132433
1;64;20;1;1;126618
1;64;20;0;1;118967
1;64;20;1;1;553123
1;64;20;1;1;126130
1;64;20;0;1;132045
1;64;20;0;1;118640
1;64;20;0;1;112198
1;64;20;1;1;115098
1;64;20;1;1;126159
1;64;20;1;1;113564
1;64;20;1;1;136672
1;64;20;1;1;126914
1;64;20;1;1;111393
1;64;20;1;1;139388
1;64;20;0;1;121160
1;64;20;0;1;115983
1;64;20;1;1;126299
1;64;20;0;1;111012
1;64;20;0;0;136149
1;64;20;0;1;207880
1;64;20;1;1;146307
1;64;20;0;1;125204
1;64;20;0;1;106249
1;64;20;0;1;139174
1;64;20;1;1;105173
1;64;20;0;1;129358
1;64;20;0;1;123164
1;64;20;1;1;107473
1;64;20;0;1;129894
1;64;20;1;1;115108
1;64;20;0;1;104698
1;64;20;1;1;132308
1;64;20;0;1;111464
1;64;20;0;1;125763
1;64;20;1;1;131361
1;64;20;0;1;127393
1;64;20;0;1;140283
1;64;20;0;1;126892
1;64;20;0;1;118816
1;64;20;1;1;114963
1;64;20;0;1;115120
1;64;20;1;1;125501
1;64;20;1;1;120804
1;64;20;1;1;116233
1;64;20;0;1;144502
1;64;20;0;1;158811
1;64;20;1;1;124056
1;64;20;0;1;128142
1;64;20;1;1;124632
1;64;20;1;1;191823
1;64;20;1;1;125967
1;64;20;0;1;121707
1;64;20;1;1;118723
1;64;20;0;1;110927
1;64;20;0;1;129201
1;64;20;0;1;127665
1;64;20;0;1;119013
1;64;20;0;1;137756
1;64;20;1;1;121679
1;64;20;1;1;111741
1;64;20;0;1;126974
1;64;20;0;1;123890
1;64;20;1;1;136926
1;64;20;1;1;108937
1;64;20;0;1;119477
1;64;20;1;1;116592
1;64;20;1;1;134863
1;64;20;1;1;106564
1;64;20;1;1;128395
1;64;20;0;1;111757
1;64;20;1;1;114465
1;64;20;1;1;119473
1;64;20;1;1;167917
1;64;20;1;1;150162
1;64;20;1;1;116680
1;64;20;1;1;109900
1;64;20;0;1;115780
1;64;20;1;1;119671
1;64;20;0;1;117264
