n_b;n_a;stride;training_length;input;output;runtime
10;1;4096;20;1001100111;1001100111;205454
10;1;4096;20;1001100111;1001100111;222530
10;1;4096;20;1111111010;1111111010;224544
10;1;4096;20;0100111010;0000011010;273209
10;1;4096;20;1111011101;0000001101;256464
10;1;4096;20;0100011011;0100011011;206271
10;1;4096;20;0110111101;0110111101;204432
10;1;4096;20;1111110101;1111110101;223055
10;1;4096;20;0001111000;0001111000;213406
10;1;4096;20;1000000011;1000000011;328701
10;1;4096;20;0001101111;0000000101;381981
10;1;4096;20;1010111111;1010111111;203715
10;1;4096;20;1011010000;1011010000;207879
10;1;4096;20;0110101010;0110101010;207520
10;1;4096;20;0000011011;0000000000;221202
10;1;4096;20;1011010101;0000010101;356604
10;1;4096;20;0101111100;0101111100;215937
10;1;4096;20;0110111001;0110111001;392505
10;1;4096;20;1001010110;1001010110;229347
10;1;4096;20;0000011001;0000011001;214213
10;1;4096;20;1011000111;1011000111;211558
10;1;4096;20;1100110000;1100110000;216732
10;1;4096;20;1011000010;1011000010;212599
10;1;4096;20;1000001110;1000001110;209065
10;1;4096;20;1101001001;1101001001;222922
10;1;4096;20;0011011101;0011011101;211278
10;1;4096;20;1010110101;0000000101;266300
10;1;4096;20;1000100101;1000100101;239021
10;1;4096;20;0101110011;0000010011;428950
10;1;4096;20;1101110111;1101110111;244726
10;1;4096;20;1110100101;1110100101;219785
10;1;4096;20;1001001000;1001001000;210065
10;1;4096;20;1000001010;1000001010;215058
10;1;4096;20;0111100111;0111100111;211994
10;1;4096;20;0001000110;0001000110;214145
10;1;4096;20;1110001000;1110001000;204183
10;1;4096;20;0011100100;0011100100;212432
10;1;4096;20;0110110111;0110110111;204790
10;1;4096;20;0001101000;0001101000;201345
10;1;4096;20;0000011100;0000011100;209553
10;1;4096;20;0110011010;0110011010;207774
10;1;4096;20;1001101101;1001101101;403878
10;1;4096;20;0001000110;0001000110;215492
10;1;4096;20;1101000100;1101000100;210648
10;1;4096;20;0011111001;0011111001;302650
10;1;4096;20;1110010010;1110010010;202594
10;1;4096;20;0101000101;0101000101;197966
10;1;4096;20;1111000110;1111000110;206706
10;1;4096;20;1111100111;1111100111;203423
10;1;4096;20;0111111100;0111111100;199451
10;1;4096;20;1000101010;1000101010;201675
10;1;4096;20;0010011001;0010011001;203952
10;1;4096;20;0110100010;0110100010;196959
10;1;4096;20;0010011110;0010011110;325367
10;1;4096;20;1000001000;1111111111;212224
10;1;4096;20;0101000110;0101000110;211349
10;1;4096;20;1000111111;1000111111;214554
10;1;4096;20;0111011010;0111011010;213636
10;1;4096;20;1101101001;1101101001;265779
10;1;4096;20;1111101111;1111101111;202206
10;1;4096;20;0000111001;0000111001;204707
10;1;4096;20;0000110010;0000110010;212585
10;1;4096;20;1011000010;1011000010;207482
10;1;4096;20;1000101011;1000101011;206927
10;1;4096;20;0010101000;0010101000;207873
10;1;4096;20;0101100001;0101100001;210439
10;1;4096;20;0100010111;0100010111;206576
10;1;4096;20;1110001111;0110001111;205523
10;1;4096;20;1010001010;1010001010;196435
10;1;4096;20;0100011101;0100011101;207597
10;1;4096;20;1001000000;1001000000;223781
10;1;4096;20;0010010100;0010010100;280931
10;1;4096;20;0110111110;0110111110;209016
10;1;4096;20;0000010000;0000010000;199219
10;1;4096;20;1101110110;1101110110;201605
10;1;4096;20;1111010011;1111010011;196897
10;1;4096;20;0011100001;0011100001;200011
10;1;4096;20;1010110010;1010110010;201787
10;1;4096;20;0001110000;0001110000;221721
10;1;4096;20;1000000011;1000000011;349810
10;1;4096;20;0101000011;1111111111;214858
10;1;4096;20;1000011100;1000011100;209724
10;1;4096;20;0011010111;1111111111;213154
10;1;4096;20;1111110001;1111110001;214045
10;1;4096;20;0000000101;0000000101;288300
10;1;4096;20;0101110011;0101110011;223502
10;1;4096;20;0101001110;0101001110;220892
10;1;4096;20;0010101111;0010101111;209405
10;1;4096;20;1101110001;1101110001;212343
10;1;4096;20;1001000001;1001000001;203960
10;1;4096;20;0000001011;0000001011;217513
10;1;4096;20;0100110111;0100110111;207697
10;1;4096;20;1000111011;1000111011;368080
10;1;4096;20;0010001110;0010001110;302775
10;1;4096;20;0010100001;1111111111;207356
10;1;4096;20;0100100000;0100100000;206047
10;1;4096;20;1000000001;1000000001;201254
10;1;4096;20;0001001110;0001001110;209689
10;1;4096;20;1111001101;1111001101;208823
10;1;4096;20;0010010100;0010010100;380504
10;2;4096;20;10011100011001100111;10011100011001100111;341461
10;2;4096;20;10011100011001100111;10011100011001100111;343560
10;2;4096;20;01000111111111111010;01000111111111111010;337045
10;2;4096;20;10001101000100111010;10001101000100111010;332131
10;2;4096;20;00100011001111011101;00100011001111011100;333087
10;2;4096;20;10101101110100011011;10101101110100011011;323907
10;2;4096;20;10001011100110111101;10001011100110111101;329892
10;2;4096;20;10110100001111110101;10110100001111110101;327749
10;2;4096;20;00101001100001111000;00101001100001111000;324851
10;2;4096;20;01010111001000000011;01010111001000000011;325621
10;2;4096;20;01101001100001101111;11111111111111111111;332873
10;2;4096;20;01011001011010111111;01011001011010111111;362256
10;2;4096;20;00101001001011010000;00101001001011010000;572451
10;2;4096;20;11110111110110101010;11110111110110101010;387686
10;2;4096;20;01111000010000011011;01111000010000011011;347456
10;2;4096;20;11010110011011010101;11010110011011010101;323449
10;2;4096;20;10011111110101111100;10011111110101111100;325222
