bit_count;stride;training_length;input;output;runtime
1;64;20;0;0;68403
1;64;20;1;1;66757
1;64;20;1;1;68320
1;64;20;0;0;68272
1;64;20;1;0;68814
1;64;20;0;0;64511
1;64;20;1;1;69854
1;64;20;1;1;76018
1;64;20;0;1;74426
1;64;20;0;0;69141
1;64;20;0;0;67878
1;64;20;1;1;87221
1;64;20;1;1;72728
1;64;20;1;1;77085
1;64;20;1;0;72927
1;64;20;1;1;67693
1;64;20;1;1;69891
1;64;20;1;1;73522
1;64;20;0;0;66652
1;64;20;0;0;68842
1;64;20;1;1;68260
1;64;20;0;0;74693
1;64;20;0;0;72451
1;64;20;0;0;68675
1;64;20;1;0;82865
1;64;20;0;0;67814
1;64;20;0;1;72467
1;64;20;0;0;80680
1;64;20;1;1;68528
1;64;20;0;1;73635
1;64;20;0;1;69311
1;64;20;1;1;68499
1;64;20;0;0;74555
1;64;20;1;1;68182
1;64;20;0;0;76748
1;64;20;1;0;74458
1;64;20;0;0;72088
1;64;20;0;0;64158
1;64;20;1;1;67669
1;64;20;0;0;64725
1;64;20;0;0;69698
1;64;20;0;0;69706
1;64;20;0;0;80172
1;64;20;1;1;71987
1;64;20;0;0;72503
1;64;20;1;1;73904
1;64;20;1;1;74719
1;64;20;1;1;68372
1;64;20;0;0;82275
1;64;20;0;0;72821
1;64;20;1;1;74106
1;64;20;0;1;69781
1;64;20;1;1;72193
1;64;20;1;1;68574
1;64;20;1;1;70915
1;64;20;0;1;74261
1;64;20;1;1;66867
1;64;20;0;0;69201
1;64;20;0;0;69766
1;64;20;0;0;68207
1;64;20;0;0;64711
1;64;20;0;1;68408
1;64;20;1;1;73940
1;64;20;1;1;68506
1;64;20;0;0;83038
1;64;20;0;0;76526
1;64;20;1;1;72971
1;64;20;1;0;72710
1;64;20;0;0;68882
1;64;20;1;1;69073
1;64;20;1;1;74618
1;64;20;1;1;75963
1;64;20;1;1;68021
1;64;20;0;1;68626
1;64;20;1;1;68969
1;64;20;1;1;57112
1;64;20;1;1;69348
1;64;20;1;1;66716
1;64;20;1;1;68669
1;64;20;1;0;67688
1;64;20;0;1;68173
1;64;20;1;1;68851
1;64;20;0;0;69020
1;64;20;1;1;67337
1;64;20;0;1;72729
1;64;20;1;1;78154
1;64;20;0;0;69885
1;64;30;1;1;73027
1;64;30;1;1;77486
1;64;30;0;0;77420
1;64;30;0;0;76913
1;64;30;1;1;83706
1;64;30;1;1;87885
1;64;30;1;1;66567
1;64;30;1;1;78828
1;64;30;0;1;72036
1;64;30;1;0;79457
1;64;30;1;1;79590
1;64;30;1;1;73004
1;64;30;0;0;86112
1;64;30;0;1;78880
1;64;30;1;1;72558
1;64;30;1;1;82146
1;64;30;0;0;84210
1;64;30;1;1;71731
1;64;30;0;1;78854
1;64;30;1;1;84242
1;64;30;1;1;77678
1;64;30;0;0;88020
1;64;30;0;1;73569
1;64;30;0;1;76274
1;64;30;1;1;76119
1;64;30;1;1;73363
1;64;30;1;1;73074
1;64;30;1;1;72618
1;64;30;1;1;76645
1;64;30;1;0;73435
1;64;30;1;1;76863
1;64;30;0;0;74434
1;64;30;0;0;74308
1;64;30;1;1;78785
1;64;30;0;0;141744
1;64;30;0;0;72355
1;64;30;0;0;72334
1;64;30;1;1;66192
1;64;30;0;1;82102
1;64;30;0;1;79691
1;64;30;0;0;86047
1;64;30;1;0;72973
1;64;30;0;0;84320
1;64;30;0;0;82451
1;64;30;1;1;78384
1;64;30;0;0;79269
1;64;30;1;1;91058
1;64;30;0;0;70979
1;64;30;1;0;91399
1;64;30;0;1;73506
1;64;30;0;0;73244
1;64;30;1;1;76200
1;64;30;0;1;76934
1;64;30;0;0;77819
1;64;30;0;0;79225
1;64;30;0;0;71253
1;64;30;1;1;71457
1;64;30;0;1;74694
1;64;30;1;1;67067
1;64;30;1;1;71562
1;64;30;1;0;72647
1;64;30;0;0;80082
1;64;30;0;0;85801
1;64;30;1;1;77399
1;64;30;0;0;73087
1;64;30;1;1;72053
1;64;30;1;1;87774
1;64;30;1;1;77557
1;64;30;0;0;73737
1;64;30;1;0;73008
1;64;30;0;0;77033
1;64;30;0;1;78691
1;64;30;0;1;72508
1;64;30;0;0;72459
1;64;30;0;0;73149
1;64;30;1;1;73730
1;64;30;1;0;71402
1;64;30;0;1;74390
1;64;30;0;0;73495
1;64;30;1;1;72232
1;64;30;1;1;79284
1;64;30;0;1;76764
1;64;30;1;1;74898
1;64;30;1;1;73492
1;64;30;1;1;75100
1;64;30;1;0;72141
1;64;30;0;0;71794
1;64;30;1;1;79869
1;64;30;1;1;72863
1;64;30;1;1;72562
1;64;30;1;1;72003
1;64;30;1;1;70953
1;64;30;1;0;77395
1;64;30;0;0;72241
1;64;30;1;0;72350
1;64;30;0;0;82239
1;64;30;1;1;71537
1;64;30;0;1;72653
1;64;30;1;1;77770
1;64;30;0;0;68007
1;64;40;1;1;78124
1;64;40;1;1;80718
1;64;40;0;0;77274
1;64;40;0;0;83972
1;64;40;1;1;79996
1;64;40;1;1;76704
1;64;40;1;0;78380
1;64;40;1;1;79075
1;64;40;0;0;78640
1;64;40;1;1;80946
1;64;40;1;1;76744
1;64;40;1;1;83667
1;64;40;0;0;82832
1;64;40;0;0;84363
1;64;40;1;0;80748
1;64;40;1;1;72549
1;64;40;0;1;82068
1;64;40;1;1;86419
1;64;40;0;0;83907
1;64;40;1;1;83308
1;64;40;1;1;74567
1;64;40;0;1;81627
1;64;40;0;0;82531
1;64;40;0;0;81081
1;64;40;1;1;76710
1;64;40;1;1;88881
1;64;40;1;1;76837
1;64;40;1;0;83125
1;64;40;1;0;81896
1;64;40;1;1;85309
1;64;40;1;1;87300
1;64;40;0;0;95950
1;64;40;0;0;82107
1;64;40;1;1;82063
1;64;40;0;0;89604
1;64;40;0;0;80752
1;64;40;0;0;80605
1;64;40;1;1;86311
1;64;40;0;0;85234
1;64;40;0;0;85616
1;64;40;0;0;82788
1;64;40;1;1;77797
1;64;40;0;0;82822
1;64;40;0;1;87455
1;64;40;1;1;83052
1;64;40;0;0;107101
1;64;40;1;1;82094
1;64;40;0;1;82824
1;64;40;1;1;83106
1;64;40;0;1;82069
1;64;40;0;0;83266
1;64;40;1;1;86857
1;64;40;0;0;79326
1;64;40;0;0;76578
1;64;40;0;0;90699
1;64;40;0;0;97481
1;64;40;1;1;78662
1;64;40;0;0;90310
1;64;40;1;1;76147
1;64;40;1;1;80664
1;64;40;1;0;83014
1;64;40;0;1;84512
1;64;40;0;0;78749
1;64;40;1;1;91143
1;64;40;0;0;82745
1;64;40;1;1;78349
1;64;40;1;1;118533
1;64;40;1;1;84817
1;64;40;0;1;89795
1;64;40;1;1;154468
1;64;40;0;1;96164
1;64;40;0;1;84228
1;64;40;0;0;85055
1;64;40;0;0;81275
1;64;40;0;0;83889
1;64;40;1;0;83679
1;64;40;1;0;77052
1;64;40;0;0;93389
1;64;40;0;0;87998
1;64;40;1;1;71327
1;64;40;1;1;79090
1;64;40;0;0;84428
1;64;40;1;1;82745
1;64;40;1;1;78102
1;64;40;1;1;85614
1;64;40;1;1;76535
1;64;40;0;0;94722
1;64;40;1;1;75893
1;64;40;1;1;85004
1;64;40;1;1;79296
1;64;40;1;0;84579
1;64;40;1;1;86290
1;64;40;1;1;80740
1;64;40;0;0;97016
1;64;40;1;0;86861
1;64;40;0;0;76579
1;64;40;1;1;83393
1;64;40;0;0;77426
1;64;40;1;1;82425
1;64;40;0;0;85063
1;64;50;1;1;88150
1;64;50;1;1;82733
1;64;50;0;0;91085
1;64;50;0;1;87625
1;64;50;1;1;86594
1;64;50;1;1;94764
1;64;50;1;1;94438
1;64;50;1;0;85997
1;64;50;0;0;90945
1;64;50;1;1;86138
1;64;50;1;1;88236
1;64;50;1;1;89136
1;64;50;0;0;88434
1;64;50;0;1;89213
1;64;50;1;1;86138
1;64;50;1;1;84365
1;64;50;0;0;94941
1;64;50;1;1;81470
1;64;50;0;0;92561
1;64;50;1;1;99950
1;64;50;1;1;85813
1;64;50;0;1;92616
1;64;50;0;0;90975
1;64;50;0;0;86064
1;64;50;1;1;87267
1;64;50;1;1;88783
1;64;50;1;1;82546
1;64;50;1;1;93094
1;64;50;1;1;86497
1;64;50;1;1;84575
1;64;50;1;1;87358
1;64;50;0;0;86781
1;64;50;0;0;135940
1;64;50;1;1;90166
1;64;50;0;0;116092
1;64;50;0;1;94342
1;64;50;0;0;91506
1;64;50;1;0;96691
1;64;50;0;0;89374
1;64;50;0;0;96265
1;64;50;0;0;92825
1;64;50;1;1;88557
1;64;50;0;0;83860
1;64;50;0;0;87528
1;64;50;1;1;88214
1;64;50;0;0;93817
1;64;50;1;1;84629
1;64;50;0;1;89390
1;64;50;1;0;93011
1;64;50;0;0;80871
1;64;50;0;0;101568
1;64;50;1;1;90706
1;64;50;0;0;86511
1;64;50;0;0;92959
1;64;50;0;1;87351
1;64;50;0;1;84909
1;64;50;1;1;198014
1;64;50;0;0;98778
1;64;50;1;1;90576
1;64;50;1;1;83933
1;64;50;1;1;89981
1;64;50;0;0;92953
1;64;50;0;0;86338
1;64;50;1;1;81680
1;64;50;0;0;94365
1;64;50;1;1;84676
1;64;50;1;1;94446
1;64;50;1;1;89573
1;64;50;0;0;91227
1;64;50;1;1;93495
1;64;50;0;1;92012
1;64;50;0;1;83964
1;64;50;0;1;83958
1;64;50;0;0;91672
1;64;50;0;0;89890
1;64;50;1;1;126023
1;64;50;1;1;107102
1;64;50;0;0;97867
1;64;50;0;0;88208
1;64;50;1;1;83766
1;64;50;1;1;86247
1;64;50;0;0;93178
1;64;50;1;1;84869
1;64;50;1;1;220956
1;64;50;1;1;121118
1;64;50;1;1;101786
1;64;50;0;0;87958
1;64;50;1;1;92212
1;64;50;1;1;88621
1;64;50;1;0;81394
1;64;50;1;1;87795
1;64;50;1;0;85474
1;64;50;1;1;85787
1;64;50;0;0;89112
1;64;50;1;1;90588
1;64;50;0;0;81696
1;64;50;1;1;93372
1;64;50;0;0;94748
1;64;50;1;1;86780
1;64;50;0;1;85914
2;64;0;11;11;55377
2;64;0;11;11;64955
2;64;0;10;11;62508
2;64;0;10;11;62204
2;64;0;01;10;58260
2;64;0;11;11;60481
2;64;0;01;10;62289
2;64;0;01;10;166975
2;64;0;00;00;60802
2;64;0;11;11;57980
2;64;0;11;11;50808
2;64;0;11;11;58094
2;64;0;00;11;71562
2;64;0;10;11;56469
2;64;0;11;11;58631
2;64;0;01;00;58238
2;64;0;00;00;58926
2;64;0;01;10;66849
2;64;0;10;11;60612
2;64;0;01;11;60156
2;64;0;11;00;58593
2;64;0;00;00;52005
2;64;0;10;11;57853
2;64;0;10;10;57293
2;64;0;01;11;63971
2;64;0;01;01;63398
2;64;0;01;10;57893
2;64;0;01;10;70389
2;64;0;11;11;79724
2;64;0;11;11;57625
2;64;0;01;10;60602
2;64;0;00;00;67348
2;64;0;10;11;58885
2;64;0;11;11;64289
2;64;0;10;11;76954
2;64;0;00;01;64469
2;64;0;00;00;60557
2;64;0;11;11;58982
2;64;0;00;00;65137
2;64;0;00;10;67933
2;64;0;10;10;115528
2;64;0;01;01;62236
2;64;0;10;10;66202
2;64;0;00;10;68290
2;64;0;01;11;62622
2;64;0;10;10;158795
2;64;0;01;11;94627
2;64;0;10;00;64842
2;64;0;11;11;68491
2;64;0;00;01;67257
2;64;0;10;11;62537
2;64;0;01;10;59294
2;64;0;10;00;61314
2;64;0;10;00;61379
2;64;0;00;00;58357
2;64;0;10;11;58060
2;64;0;11;11;58890
2;64;0;10;00;61292
2;64;0;01;11;59985
2;64;0;11;01;64092
2;64;0;01;01;62306
2;64;0;10;11;58813
2;64;0;10;10;140398
2;64;0;11;11;134598
2;64;0;00;01;68354
2;64;0;01;01;64069
2;64;0;11;11;58272
2;64;0;11;11;75794
2;64;0;10;11;65223
2;64;0;01;01;60126
2;64;0;00;00;64245
2;64;0;00;00;66220
2;64;0;10;00;60382
2;64;0;00;10;71316
2;64;0;10;00;60912
2;64;0;11;00;69411
