bit_count;stride;training_length;input;output;runtime
1;64;20;0;0;60953
1;64;20;1;1;60535
1;64;20;1;1;62472
1;64;20;0;0;63172
1;64;20;1;1;62002
1;64;20;0;1;104433
1;64;20;1;1;60475
1;64;20;1;1;68379
1;64;20;0;1;76962
1;64;20;0;1;67433
1;64;20;0;1;61500
1;64;20;1;1;58260
1;64;20;1;1;65689
1;64;20;1;1;65258
1;64;20;1;1;101203
1;64;20;1;1;131990
1;64;20;1;1;128779
1;64;20;1;1;140008
1;64;20;0;1;164220
1;64;20;0;0;58145
1;64;20;1;1;141300
1;64;20;0;0;102734
1;64;20;0;0;63196
1;64;20;0;1;122031
1;64;20;1;0;60687
1;64;20;0;1;60374
1;64;20;0;1;79570
1;64;20;0;1;69121
1;64;20;1;1;140164
1;64;20;0;1;66926
1;64;20;0;1;98292
1;64;20;1;0;102002
1;64;20;0;1;142855
1;64;20;1;1;139012
1;64;20;0;0;64844
1;64;20;1;1;59389
1;64;20;0;1;66648
1;64;20;0;0;63146
1;64;20;1;1;70434
1;64;20;0;0;62171
1;64;20;0;1;65312
1;64;20;0;1;56733
1;64;20;0;1;61927
1;64;20;1;1;61849
1;64;20;0;1;62064
1;64;20;1;1;58778
1;64;20;1;1;63018
1;64;20;1;1;62071
1;64;20;0;1;62615
1;64;20;0;0;64870
1;64;20;1;1;70357
1;64;20;0;1;61044
1;64;20;1;1;62632
1;64;20;1;1;63929
1;64;20;1;1;72869
1;64;20;0;1;63598
1;64;20;1;1;64818
1;64;20;0;1;59383
1;64;20;0;1;106658
1;64;20;0;1;82081
1;64;20;0;0;135252
1;64;20;0;1;139651
1;64;20;1;1;62995
1;64;20;1;1;72994
1;64;20;0;1;62232
1;64;20;0;1;67864
1;64;20;1;1;62046
1;64;20;1;1;63394
1;64;20;0;1;62203
1;64;20;1;1;134640
1;64;20;1;1;101068
1;64;20;1;1;109904
1;64;20;1;1;138181
1;64;20;0;0;132537
1;64;20;1;1;101056
1;64;20;1;1;241726
1;64;20;1;1;141059
1;64;20;1;1;139250
1;64;20;1;1;66355
1;64;20;1;1;59087
1;64;20;0;1;61506
1;64;20;1;1;59620
1;64;20;0;1;58797
1;64;20;1;1;60959
1;64;20;0;1;59910
1;64;20;1;1;59331
1;64;20;0;0;60007
1;64;30;1;1;64038
1;64;30;1;1;72415
1;64;30;0;1;65391
1;64;30;0;0;65916
1;64;30;1;1;62680
1;64;30;1;1;63886
1;64;30;1;1;67840
1;64;30;1;1;63710
1;64;30;0;1;65088
1;64;30;1;1;65922
1;64;30;1;1;64556
1;64;30;1;1;69718
1;64;30;0;1;65000
1;64;30;0;0;66409
1;64;30;1;1;64350
1;64;30;1;1;63924
1;64;30;0;0;64533
1;64;30;1;1;67194
1;64;30;0;1;64307
1;64;30;1;1;66557
1;64;30;1;1;66881
1;64;30;0;0;65595
1;64;30;0;1;64245
1;64;30;0;0;63592
1;64;30;1;1;63745
1;64;30;1;1;65203
1;64;30;1;1;65272
1;64;30;1;1;67365
1;64;30;1;1;81288
1;64;30;1;1;65656
1;64;30;1;1;65076
1;64;30;0;1;64235
1;64;30;0;1;68136
1;64;30;1;1;65339
1;64;30;0;0;64868
1;64;30;0;1;64882
1;64;30;0;1;69413
1;64;30;1;1;64986
1;64;30;0;1;70617
1;64;30;0;1;74777
1;64;30;0;1;69311
1;64;30;1;1;67118
1;64;30;0;1;72673
1;64;30;0;1;67358
1;64;30;1;1;69422
1;64;30;0;0;135185
1;64;30;1;1;62962
1;64;30;0;1;110440
1;64;30;1;1;148395
1;64;30;0;0;75633
1;64;30;0;0;149234
1;64;30;1;1;153932
1;64;30;0;1;111303
1;64;30;0;0;71830
1;64;30;0;0;103942
1;64;30;0;1;61855
1;64;30;1;1;75044
1;64;30;0;0;156250
1;64;30;1;1;61372
1;64;30;1;1;61048
1;64;30;1;1;60564
1;64;30;0;1;60009
1;64;30;0;1;61268
1;64;30;1;1;69080
1;64;30;0;1;61294
1;64;30;1;1;64471
1;64;30;1;1;70923
1;64;30;1;1;64788
1;64;30;0;1;67581
1;64;30;1;1;72504
1;64;30;0;1;79067
1;64;30;0;0;67560
1;64;30;0;0;66488
1;64;30;0;1;65556
1;64;30;0;1;63987
1;64;30;1;1;78212
1;64;30;1;1;64126
1;64;30;0;1;64842
1;64;30;0;1;64553
1;64;30;1;1;77533
1;64;30;1;1;63018
1;64;30;0;1;65256
1;64;30;1;1;69350
1;64;30;1;1;63120
1;64;30;1;1;69999
1;64;30;1;1;73314
1;64;30;0;0;63348
1;64;30;1;1;64885
1;64;30;1;1;63899
1;64;30;1;1;66898
1;64;30;1;1;63358
1;64;30;1;1;65032
1;64;30;1;1;63894
1;64;30;0;0;64105
1;64;30;1;1;68005
1;64;30;0;0;65348
1;64;30;1;1;70584
1;64;30;0;1;70083
1;64;30;1;1;65127
1;64;30;0;1;67287
1;64;40;1;1;73710
1;64;40;1;1;74112
1;64;40;0;0;72426
1;64;40;0;0;81616
1;64;40;1;1;69645
1;64;40;1;1;77422
1;64;40;1;1;68387
1;64;40;1;1;67475
1;64;40;0;1;76206
1;64;40;1;1;73289
1;64;40;1;1;393419
1;64;40;1;1;68233
1;64;40;0;1;73906
1;64;40;0;0;72978
1;64;40;1;1;69950
1;64;40;1;1;77084
1;64;40;0;0;69069
1;64;40;1;1;70496
1;64;40;0;1;69621
1;64;40;1;1;75139
1;64;40;1;1;72651
