n_b;n_a;stride;training_length;input;output;runtime
10;2;4096;20;00010101001011000111;00010101001011000111;185068
10;2;4096;20;10100000111100110000;10100000111100110000;198930
10;2;4096;20;00101111001011000010;00000000000000000000;176789
10;2;4096;20;11101001111000001110;00000000000000000000;177372
10;2;4096;20;00001110101101001001;00001110101101001001;227284
10;2;4096;20;11000110110011011101;00000000000000000000;191184
10;2;4096;20;10001000111010110101;10001000111010110101;178436
10;2;4096;20;11001001101000100101;11001001101000100101;172825
10;2;4096;20;10000000100101110011;00000000000101110011;244353
10;2;4096;20;01000100111101110111;11111111111111111111;215498
10;2;4096;20;11101011101110100101;11101011101110100101;200774
10;2;4096;20;10111010111001001000;00000000000000000000;207234
10;2;4096;20;10000110101000001010;11111101111111011111;200028
10;2;4096;20;00000101010111100111;00000000000000000000;185301
10;2;4096;20;01100000100001000110;00000000000000000000;346860
10;2;4096;20;10011000111110001000;10011000111110001000;205763
10;2;4096;20;00110100100011100100;00110100100011100100;179848
10;2;4096;20;01110100100110110111;00000000000000000000;202892
10;2;4096;20;11001000010001101000;00000000000000000000;185213
10;2;4096;20;00111011100000011100;00111011100000010000;201946
10;2;4096;20;01011010100110011010;00000000000000000000;205364
10;2;4096;20;11001011001001101101;00000000000000000000;241185
10;2;4096;20;00010110010001000110;00010110010001000110;181921
10;2;4096;20;10010101111101000100;00000000000000000000;232992
10;2;4096;20;10011101110011111001;10011101110011111001;177965
10;2;4096;20;10110000101110010010;00000000000000000000;243544
10;2;4096;20;10001110110101000101;10001110110101000101;208379
10;2;4096;20;10110100001111000110;10110100001111000110;176541
10;2;4096;20;10101100011111100111;10101100011111100111;194002
10;2;4096;20;10110100010111111100;00000000000000000000;177737
10;2;4096;20;01100111111000101010;01100111111000101010;293081
10;2;4096;20;11110111010010011001;11110111010010011001;191035
10;2;4096;20;10000111010110100010;00000000000000000000;173111
10;2;4096;20;11100101000010011110;00000000000000011100;666118
10;2;4096;20;00001111101000001000;00000000000000000000;183240
10;2;4096;20;10101010110101000110;10101010110101000110;178000
10;2;4096;20;01010110011000111111;01010110011000111111;193335
10;2;4096;20;10001010110111011010;00000000000000000000;184469
10;2;4096;20;10011110001101101001;10011110001101101001;195826
10;2;4096;20;11000001011111101111;00000000000000000000;310794
10;2;4096;20;01011010000000111001;00000010000000111001;191305
10;2;4096;20;10100010100000110010;10100010100000110010;171532
10;2;4096;20;01101000001011000010;00000000000000000000;260708
10;2;4096;20;00000110001000101011;00000000000000000000;190664
10;2;4096;20;11011111110010101000;11011111110010101000;169932
10;2;4096;20;10001010010101100001;10001010010101100001;239164
10;2;4096;20;00001101010100010111;00000000000000000000;196237
10;2;4096;20;11110101101110001111;11110101101110001111;178324
10;2;4096;20;10000110001010001010;00000000000000000000;178003
10;2;4096;20;11101001100100011101;11101001100100011101;247806
10;2;4096;20;10010000111001000000;00000000000000000000;247998
10;2;4096;20;00110011010010010100;00110011010010010100;180678
10;2;4096;20;10010100110110111110;11111111111111111101;199637
10;2;4096;20;10110011110000010000;00000000000000000000;259097
10;2;4096;20;00101100011101110110;11111110011101111101;225315
10;2;4096;20;10100011111111010011;10100011111111010011;179540
10;2;4096;20;01111100100011100001;00000000000000000000;184190
10;2;4096;20;01010111101010110010;01010111101010110010;189266
10;2;4096;20;11011110010001110000;11011110010001110000;237777
10;2;4096;20;10000000101000000011;00000000000000000000;176863
10;2;4096;20;00001010000101000011;00000000000000000000;165840
10;2;4096;20;10011110111000011100;00000000000000000000;179614
10;2;4096;20;10100110010011010111;10100110010011010111;176377
10;2;4096;20;11000010101111110001;11000010101111110001;231686
10;2;4096;20;10110001010000000101;00000000000000000000;200493
10;2;4096;20;10010101010101110011;11011111011111111111;192441
10;2;4096;20;10101110100101001110;00000000000000000000;178395
10;2;4096;20;11000000100010101111;00000000000000000000;175556
10;2;4096;20;01010000011101110001;00000000000000000000;178304
10;2;4096;20;10101101011001000001;10101101011001000001;174038
10;2;4096;20;01101101010000001011;01101101010000001011;173005
10;2;4096;20;11010110000100110111;00000000000000000000;181969
10;2;4096;20;00000000101000111011;00000000101000111011;184338
10;2;4096;20;10010110000010001110;00000000000000000000;276988
10;2;4096;20;11111110110010100001;00000000000000000000;204296
10;2;4096;20;10111100110100100000;00000000000000000000;249981
10;2;4096;20;00111101101000000001;00000000000000000000;402002
10;2;4096;20;01001010010001001110;01001010010001001110;250168
10;2;4096;20;10110010111111001101;10110010111111001101;188208
10;2;4096;20;01011101010010010100;00000000000000000000;193954
10;3;4096;20;110011011010011100011001100111;000000000000000000000000000000;195880
10;3;4096;20;110011011010011100011001100111;000000000000000000000000000000;192110
10;3;4096;20;001111010001000111111111111010;110110110110110110110110110110;310831
10;3;4096;20;101000110110001101000100111010;101000110110001101000100111010;208137
10;3;4096;20;011110010000100011001111011101;011110010000100011001111011101;213069
10;3;4096;20;001000011010101101110100011011;001000011010101101110100011011;261277
10;3;4096;20;110001000110001011100110111101;000000000000000000000000000000;220404
10;3;4096;20;101111001110110100001111110101;000000000000000100001111000101;301598
10;3;4096;20;111101001000101001100001111000;000000000000000000000000000000;362099
10;3;4096;20;010111101001010111001000000011;110110110110110110110110110110;264638
10;3;4096;20;110101001001101001100001101111;000000000000000000000000000000;266417
10;3;4096;20;001101011101011001011010111111;001101011101011001011010111111;293122
10;3;4096;20;000000101100101001001011010000;000000000000000000000000000000;229923
10;3;4096;20;001111101111110111110110101010;000000000000000000000000000000;227827
10;3;4096;20;011010000101111000010000011011;011010000101111000010000011011;353619
10;3;4096;20;000111001111010110011011010101;000111001111010110011011010101;206967
10;3;4096;20;001100100010011111110101111100;110110110110110110110110110110;202357
10;3;4096;20;000011011111111010110110111001;000011011111111010110110111001;194989
10;3;4096;20;011111010011110001111001010110;000000000000000001111001010110;245862
10;3;4096;20;001010001110000111100000011001;001010000110000111100000011001;213063
10;3;4096;20;000111011000010101001011000111;000000000000000000000000000000;210969
10;3;4096;20;100010001110100000111100110000;100010001110100000111100110000;197393
10;3;4096;20;010001111100101111001011000010;010001111100101111001011000010;210296
10;3;4096;20;010010000111101001111000001110;000000000000000000111000001110;330670
10;3;4096;20;111101111100001110101101001001;111101111100001110101101001001;197966
10;3;4096;20;111000000011000110110011011101;111000000011000110110011011101;269304
10;3;4096;20;101001110110001000111010110101;000000000000000000000000000000;211736
10;3;4096;20;101000011111001001101000100101;101000011111001001101000100101;235587
10;3;4096;20;001000000010000000100101110011;100000010000000000000000000000;314925
10;3;4096;20;010101101001000100111101110111;000000000000000000000000000000;326568
10;3;4096;20;011001111111101011101110100101;011001111111101011101110100101;206529
10;3;4096;20;101100000010111010111001001000;101100000010111010111001001000;204018
10;3;4096;20;100001110110000110101000001010;001001110110110110010000001010;233218
10;3;4096;20;111101010100000101010111100111;110110110110110110110110110110;214482
10;3;4096;20;101110100101100000100001000110;000000000000000000000000000000;204607
10;3;4096;20;001100111110011000111110001000;000000000000000000000000000000;254810
10;3;4096;20;010000110100110100100011100100;000000000000000000000000000000;311489
10;3;4096;20;111111111001110100100110110111;111111111001110100100110110111;209601
10;3;4096;20;001010111111001000010001101000;000000000000000000000000000000;211774
10;3;4096;20;110001111000111011100000011100;110001111000111011100000011000;207248
10;3;4096;20;011010000001011010100110011010;000000000000000000000000000000;197809
10;3;4096;20;001101010011001011001001101101;001101010011001011001001101101;210555
10;3;4096;20;101001001100010110010001000110;101001001100010110010001000110;260609
10;3;4096;20;011010110010010101111101000100;011010110010010101111101000100;265324
10;3;4096;20;010100001110011101110011111001;010100001110011101110011111001;309941
10;3;4096;20;111011001110110000101110010010;111011001110110000101110010010;204236
10;3;4096;20;001101110110001110110101000101;000000000000000000000000000000;218239
10;3;4096;20;100101111110110100001111000110;100101111110110100001111000110;210025
10;3;4096;20;101100000010101100011111100111;000000000000000000000000000000;204992
10;3;4096;20;011100111110110100010111111100;000000000000000000000000000000;195275
10;3;4096;20;101101000001100111111000101010;101101000001100111111000101010;195765
10;3;4096;20;101001100011110111010010011001;101001100011110111010010011001;323937
10;3;4096;20;101010000010000111010110100010;101010000010000111010110100010;295683
10;3;4096;20;010111000011100101000010011110;000000000000000000000000000000;205310
10;3;4096;20;001001010000001111101000001000;001001010000001111000000001000;224092
10;3;4096;20;101011000110101010110101000110;101011000110101010110000000110;273734
10;3;4096;20;011101100001010110011000111111;011101100001010110011000111111;325149
10;3;4096;20;010000001010001010110111011010;010000001010001010110111011010;209852
10;3;4096;20;101111100110011110001101101001;000000000000000000000000000000;297188
10;3;4096;20;010100000011000001011111101111;000000000000000000000000000000;254617
10;3;4096;20;111001110001011010000000111001;111001110001011010000000111001;328476
10;3;4096;20;001011111110100010100000110010;001011111110100010100000110010;198537
10;3;4096;20;100000111001101000001011000010;000000000000000000000000000000;276600
10;3;4096;20;000111001000000110001000101011;000111001000000110001000101011;342096
10;3;4096;20;011000111011011111110010101000;000000111011011111110010101000;199543
10;3;4096;20;001010001110001010010101100001;110110110110110110110110110110;204559
10;3;4096;20;000010101100001101010100010111;000000000000000000000000000000;210747
10;3;4096;20;011111001011110101101110001111;000000000000000101101110001111;447834
10;3;4096;20;001100110110000110001010001010;000000000000000000000000000000;227499
10;3;4096;20;010000101111101001100100011101;000000000000000000000000000000;208960
10;3;4096;20;011000101010010000111001000000;011000101010010000111001000000;212260
10;3;4096;20;111011000000110011010010010100;000000000000000000000000000000;197580
10;3;4096;20;011011000010010100110110111110;011011000010010100110110111110;242374
10;3;4096;20;001011010110110011110000010000;000000000000000011110000010000;273072
10;3;4096;20;101011100000101100011101110110;101011100000101100011101110110;201331
10;3;4096;20;011001011110100011111111010011;000000000000000011111111010011;359091
10;3;4096;20;011110001101111100100011100001;011110001101111100100011100001;217957
10;3;4096;20;010010110001010111101010110010;000000000000000000000000000000;198937
10;3;4096;20;100001010011011110010001110000;000000000000000000000000000000;192570
10;3;4096;20;010010010110000000101000000011;000000000000000000101000000011;267482
10;3;4096;20;100010001100001010000101000011;100010001100001010000101000011;360176
10;3;4096;20;111111011110011110111000011100;000000000000000000000000000000;203650
10;3;4096;20;110001011110100110010011010111;110001011110100110010011010111;202237
10;3;4096;20;111110111111000010101111110001;000000000000000000000000000000;199222
10;3;4096;20;010000001010110001010000000101;000000000000000000000000000000;208198
10;3;4096;20;010101011010010101010101110011;000000000000000000000000000000;189437
10;3;4096;20;001000000010101110100101001110;000000000000000000000000000000;238351
10;3;4096;20;111001000111000000100010101111;000000000000000000000000000000;211193
10;3;4096;20;001010110001010000011101110001;000000000000000000000000000000;198763
10;3;4096;20;100111101110101101011001000001;000000000000000000000000000000;664205
10;3;4096;20;111100111101101101010000001011;111100111101101101010000001011;206435
10;3;4096;20;101001001011010110000100110111;110110110110110110110110110110;215811
10;3;4096;20;001101010000000000101000111011;000101010000000000101000111011;235198
10;3;4096;20;010100100110010110000010001110;000000000000000000000000000000;239949
10;3;4096;20;100111000011111110110010100001;100111000011111110110010100001;206809
10;3;4096;20;001011000110111100110100100000;001011000110111100110100100000;336863
10;3;4096;20;010011100000111101101000000001;010011100000111101101000000001;298021
10;3;4096;20;101100100001001010010001001110;101100100001001010010001001110;290400
10;3;4096;20;011011101110110010111111001101;011011101110110010111111001101;212557
10;3;4096;20;110101000101011101010010010100;110101000101011101010010010100;209948
10;4;4096;20;0101000101110011011010011100011001100111;0000000000000000000000000000000000000000;325839
10;4;4096;20;0101000101110011011010011100011001100111;0101111111010101011010011100011001100111;415640
10;4;4096;20;1101010101001111010001000111111111111010;1101010101001111010000000111111111111010;340409
10;4;4096;20;0101000100101000110110001101000100111010;0000000000000000000000000000000000000000;254659
10;4;4096;20;1111001100011110010000100011001111011101;1111001100011110010000100011001111011101;242910
10;4;4096;20;0110110000001000011010101101110100011011;0000000000000000000010101101110100011011;308307
10;4;4096;20;1010110000110001000110001011100110111101;0000000000000000000000000000000000000000;300872
10;4;4096;20;0110110110101111001110110100001111110101;0110110110101111001110110000001111110101;276221
10;4;4096;20;0101011101111101001000101001100001111000;0000000000000000000000000000000000000000;250787
10;4;4096;20;0111001001010111101001010111001000000011;0000000000000000000000000000000000000000;255024
10;4;4096;20;0000001000110101001001101001100001101111;0000000000000000000000000000000000000000;280996
10;4;4096;20;0010101100001101011101011001011010111111;0000000000000000000000000000000000000000;235818
10;4;4096;20;0011101111000000101100101001001011010000;0000000000000000000000000000000000000000;297216
10;4;4096;20;0111110010001111101111110111110110101010;0111110010001111101111110111110110101010;258163
10;4;4096;20;0000000101011010000101111000010000011011;0110011001100110011001100110011001100100;250136
10;4;4096;20;0101000010000111001111010110011011010101;0110011001100110011001100110011001100110;420627
10;4;4096;20;1100001101001100100010011111110101111100;1100001101001100100010011111110101111100;276376
10;4;4096;20;1001111100000011011111111010110110111001;0000000000000000000000000000000000000000;252024
10;4;4096;20;0000010011011111010011110001111001010110;0000000000000000000000000000000000000000;248581
10;4;4096;20;1100011100001010001110000111100000011001;1100011100001010001110000111100000011001;240778
