n_b;n_a;stride;training_length;input;output;runtime
1;1;4096;20;1;1;150952
1;1;4096;20;1;1;161894
1;1;4096;20;0;0;149635
1;1;4096;20;0;0;157683
1;1;4096;20;1;1;158715
1;1;4096;20;1;1;178837
1;1;4096;20;1;1;172468
1;1;4096;20;1;0;370901
1;1;4096;20;0;0;162311
1;1;4096;20;1;1;191390
1;1;4096;20;1;1;156582
1;1;4096;20;1;1;155426
1;1;4096;20;0;0;163086
1;1;4096;20;0;0;143032
1;1;4096;20;1;1;138568
1;1;4096;20;1;1;152658
1;1;4096;20;0;0;433630
1;1;4096;20;1;1;204227
1;1;4096;20;0;0;198526
1;1;4096;20;1;1;163455
1;1;4096;20;1;1;166231
1;1;4096;20;0;0;139111
1;1;4096;20;0;0;153556
1;1;4096;20;0;0;152346
1;1;4096;20;1;1;154783
1;1;4096;20;1;1;186972
1;1;4096;20;1;1;161274
1;1;4096;20;1;1;152667
1;1;4096;20;1;1;157030
1;1;4096;20;1;1;154357
1;1;4096;20;1;1;141346
1;1;4096;20;0;0;155899
1;1;4096;20;0;0;168139
1;1;4096;20;1;1;398174
1;1;4096;20;0;0;170487
1;1;4096;20;0;0;157940
1;1;4096;20;0;0;157774
1;1;4096;20;1;1;153413
1;1;4096;20;0;0;157625
1;1;4096;20;0;0;189576
1;1;4096;20;0;0;150423
1;1;4096;20;1;1;156405
1;1;4096;20;0;0;158428
1;1;4096;20;0;0;148223
1;1;4096;20;1;1;409308
1;1;4096;20;0;0;163532
1;1;4096;20;1;1;161838
1;1;4096;20;0;0;353988
1;1;4096;20;1;1;160009
1;1;4096;20;0;0;154188
1;1;4096;20;0;0;152445
1;1;4096;20;1;1;143225
1;1;4096;20;0;0;155237
1;1;4096;20;0;0;155170
1;1;4096;20;0;0;157218
1;1;4096;20;0;0;155519
1;1;4096;20;1;1;142040
1;1;4096;20;0;0;137737
1;1;4096;20;1;1;154194
1;1;4096;20;1;1;167122
1;1;4096;20;1;1;180672
1;1;4096;20;0;0;244032
1;1;4096;20;0;0;148805
1;1;4096;20;1;1;361429
1;1;4096;20;0;0;153429
